sin,time_a,town,cnt,sintype
fig5,16:00,新化區,312,w_test_2
fig5,15:55,善化區,225,w_test_2
fig5,13:50,新市區,470,w_test_2
fig5,15:15,北區,316,w_test_2
fig5,15:50,北區,266,w_test_2
fig5,14:10,善化區,369,w_test_2
fig5,15:30,安南區,491,w_test_2
fig5,15:45,東區,463,w_test_2
fig5,13:35,永康區,792,w_test_2
fig5,15:55,新化區,411,w_test_2
fig5,15:25,永康區,962,w_test_2
fig5,16:00,善化區,183,w_test_2
fig5,14:00,新市區,475,w_test_2
fig5,17:20,安南區,94,w_test_2
fig5,15:45,新市區,399,w_test_2
fig5,13:50,東區,521,w_test_2
fig5,16:00,永康區,670,w_test_2
fig5,16:30,新化區,204,w_test_2
fig5,13:55,北區,353,w_test_2
fig5,14:10,永康區,1118,w_test_2
fig5,14:05,善化區,364,w_test_2
fig5,16:20,新市區,255,w_test_2
fig5,14:40,善化區,367,w_test_2
fig5,16:20,東區,164,w_test_2
fig5,15:25,安南區,491,w_test_2
fig5,17:15,安南區,61,w_test_2
fig5,13:55,善化區,362,w_test_2
fig5,14:30,新市區,489,w_test_2
fig5,14:00,新化區,614,w_test_2
fig5,13:55,新化區,558,w_test_2
fig5,14:00,北區,390,w_test_2
fig5,16:30,善化區,86,w_test_2
fig5,13:45,東區,503,w_test_2
fig5,15:55,永康區,761,w_test_2
fig5,13:45,新市區,444,w_test_2
fig5,15:45,北區,306,w_test_2
fig5,13:30,安南區,569,w_test_2
fig5,14:55,善化區,369,w_test_2
fig5,16:45,新化區,137,w_test_2
fig5,13:45,安南區,577,w_test_2
fig5,16:15,永康區,417,w_test_2
fig5,16:35,新市區,201,w_test_2
fig5,15:00,新化區,583,w_test_2
fig5,16:50,永康區,160,w_test_2
fig5,14:50,新化區,586,w_test_2
fig5,14:30,安南區,609,w_test_2
fig5,16:35,東區,138,w_test_2
fig5,16:40,北區,84,w_test_2
fig5,14:40,東區,594,w_test_2
fig5,14:05,東區,539,w_test_2
fig5,16:05,北區,168,w_test_2
fig5,14:25,永康區,1087,w_test_2
fig5,14:15,新化區,597,w_test_2
fig5,14:15,北區,407,w_test_2
fig5,15:00,善化區,374,w_test_2
fig5,14:45,新市區,437,w_test_2
fig5,16:45,善化區,51,w_test_2
fig5,16:20,安南區,217,w_test_2
fig5,17:00,永康區,184,w_test_2
fig5,14:50,北區,383,w_test_2
fig5,15:20,永康區,976,w_test_2
fig5,17:15,永康區,146,w_test_2
fig5,15:15,善化區,318,w_test_2
fig5,14:45,安南區,581,w_test_2
fig5,15:15,新化區,565,w_test_2
fig5,16:35,安南區,160,w_test_2
fig5,17:05,新化區,88,w_test_2
fig5,15:40,新市區,404,w_test_2
fig5,14:55,東區,569,w_test_2
fig5,15:05,新市區,435,w_test_2
fig5,15:50,善化區,259,w_test_2
fig5,15:10,北區,293,w_test_2
fig5,16:55,北區,40,w_test_2
fig5,15:50,新化區,456,w_test_2
fig5,17:05,善化區,29,w_test_2
fig5,15:40,東區,503,w_test_2
fig5,15:05,東區,550,w_test_2
fig5,13:30,永康區,802,w_test_2
fig5,17:05,北區,34,w_test_2
fig5,17:30,新市區,64,w_test_2
fig5,17:30,東區,18,w_test_2
fig5,15:20,北區,316,w_test_2
fig5,15:25,善化區,293,w_test_2
fig5,17:15,新化區,116,w_test_2
fig5,17:15,北區,34,w_test_2
fig5,15:00,安南區,614,w_test_2
fig5,17:25,永康區,115,w_test_2
fig5,15:30,永康區,945,w_test_2
fig5,15:15,新市區,446,w_test_2
fig5,16:45,安南區,123,w_test_2
fig5,13:30,善化區,257,w_test_2
fig5,15:50,東區,470,w_test_2
fig5,17:05,東區,44,w_test_2
fig5,13:30,新化區,513,w_test_2
fig5,15:15,東區,521,w_test_2
fig5,15:50,新市區,380,w_test_2
fig5,17:15,善化區,51,w_test_2
fig5,13:40,永康區,844,w_test_2
fig5,15:25,新化區,495,w_test_2
fig5,13:30,北區,296,w_test_2
fig5,14:55,安南區,560,w_test_2
fig5,17:05,新市區,168,w_test_2
fig5,15:10,新化區,516,w_test_2
fig5,14:05,安南區,605,w_test_2
fig5,16:25,永康區,313,w_test_2
fig5,15:10,善化區,328,w_test_2
fig5,14:15,東區,583,w_test_2
fig5,14:25,北區,373,w_test_2
fig5,15:00,東區,583,w_test_2
fig5,14:40,安南區,634,w_test_2
fig5,16:55,新化區,119,w_test_2
fig5,16:45,新市區,184,w_test_2
fig5,17:00,善化區,29,w_test_2
fig5,17:00,北區,30,w_test_2
fig5,14:25,新化區,569,w_test_2
fig5,13:55,安南區,585,w_test_2
fig5,14:35,永康區,1104,w_test_2
fig5,16:30,安南區,184,w_test_2
fig5,17:00,新化區,123,w_test_2
fig5,14:50,東區,598,w_test_2
fig5,17:10,永康區,94,w_test_2
fig5,16:55,善化區,37,w_test_2
fig5,16:45,東區,95,w_test_2
fig5,16:15,北區,161,w_test_2
fig5,14:55,新市區,432,w_test_2
fig5,16:50,北區,44,w_test_2
fig5,15:00,新市區,439,w_test_2
fig5,16:30,永康區,264,w_test_2
fig5,14:25,新市區,453,w_test_2
fig5,14:20,東區,630,w_test_2
fig5,16:20,北區,135,w_test_2
fig5,16:15,新市區,302,w_test_2
fig5,14:30,新化區,590,w_test_2
fig5,14:30,北區,393,w_test_2
fig5,16:15,東區,237,w_test_2
fig5,16:25,善化區,105,w_test_2
fig5,14:35,善化區,389,w_test_2
fig5,16:25,新化區,190,w_test_2
fig5,14:40,永康區,1097,w_test_2
fig5,16:50,新市區,161,w_test_2
fig5,14:05,永康區,1045,w_test_2
fig5,16:00,安南區,348,w_test_2
fig5,16:50,東區,73,w_test_2
fig5,14:10,安南區,585,w_test_2
fig5,15:55,安南區,323,w_test_2
fig5,15:55,東區,339,w_test_2
fig5,15:55,新市區,340,w_test_2
fig5,16:10,新化區,197,w_test_2
fig5,14:10,新市區,468,w_test_2
fig5,16:00,新市區,288,w_test_2
fig5,15:25,北區,330,w_test_2
fig5,15:35,永康區,893,w_test_2
fig5,15:05,安南區,519,w_test_2
fig5,16:10,善化區,159,w_test_2
fig5,13:35,善化區,269,w_test_2
fig5,17:30,安南區,16,w_test_2
fig5,13:45,永康區,893,w_test_2
fig5,13:35,新化區,463,w_test_2
fig5,14:20,善化區,359,w_test_2
fig5,16:00,東區,343,w_test_2
fig5,13:35,北區,320,w_test_2
fig5,15:40,安南區,421,w_test_2
fig5,15:30,新化區,506,w_test_2
fig5,17:20,善化區,71,w_test_2
fig5,14:25,安南區,626,w_test_2
fig5,14:55,永康區,1066,w_test_2
fig5,17:20,北區,64,w_test_2
fig5,17:20,新化區,116,w_test_2
fig5,14:35,東區,590,w_test_2
fig5,14:45,新化區,607,w_test_2
fig5,16:15,安南區,274,w_test_2
fig5,17:30,永康區,52,w_test_2
fig5,15:20,新市區,442,w_test_2
fig5,15:20,東區,507,w_test_2
fig5,17:10,新市區,161,w_test_2
fig5,16:50,安南區,86,w_test_2
fig5,16:35,北區,104,w_test_2
fig5,14:45,北區,377,w_test_2
fig5,17:10,東區,33,w_test_2
fig5,15:30,善化區,337,w_test_2
fig5,15:00,永康區,1111,w_test_2
fig5,16:45,永康區,174,w_test_2
fig5,13:30,新市區,397,w_test_2
fig5,16:55,安南區,98,w_test_2
fig5,13:40,善化區,259,w_test_2
fig5,17:25,善化區,46,w_test_2
fig5,15:25,東區,499,w_test_2
fig5,13:50,永康區,924,w_test_2
fig5,15:30,北區,323,w_test_2
fig5,15:35,善化區,298,w_test_2
fig5,13:30,東區,470,w_test_2
fig5,15:25,新市區,387,w_test_2
fig5,15:10,安南區,495,w_test_2
fig5,15:40,永康區,865,w_test_2
fig5,13:40,新化區,513,w_test_2
fig5,13:40,北區,336,w_test_2
fig5,17:25,新化區,95,w_test_2
fig5,15:05,永康區,1021,w_test_2
fig5,15:35,新化區,555,w_test_2
fig5,17:25,北區,37,w_test_2
fig5,17:15,新市區,137,w_test_2
fig5,17:00,安南區,86,w_test_2
fig5,17:15,東區,44,w_test_2
fig5,14:40,新化區,593,w_test_2
fig5,14:40,北區,380,w_test_2
fig5,16:35,善化區,68,w_test_2
fig5,16:30,北區,121,w_test_2
fig5,16:40,永康區,191,w_test_2
fig5,14:20,安南區,618,w_test_2
fig5,14:35,新市區,453,w_test_2
fig5,16:10,安南區,286,w_test_2
fig5,16:25,新市區,220,w_test_2
fig5,14:05,北區,363,w_test_2
fig5,14:15,永康區,1111,w_test_2
fig5,16:35,新化區,144,w_test_2
fig5,16:05,永康區,531,w_test_2
fig5,14:45,善化區,374,w_test_2
fig5,14:50,永康區,1073,w_test_2
fig5,14:05,新化區,541,w_test_2
fig5,16:25,東區,146,w_test_2
fig5,14:30,東區,590,w_test_2
fig5,13:35,安南區,491,w_test_2
fig5,16:20,永康區,403,w_test_2
fig5,16:40,東區,106,w_test_2
fig5,14:00,安南區,659,w_test_2
fig5,14:20,新化區,576,w_test_2
fig5,13:50,安南區,548,w_test_2
fig5,16:50,新化區,137,w_test_2
fig5,14:50,新市區,430,w_test_2
fig5,15:45,安南區,421,w_test_2
fig5,14:30,永康區,1108,w_test_2
fig5,16:50,善化區,51,w_test_2
fig5,16:15,新化區,186,w_test_2
fig5,16:10,北區,182,w_test_2
fig5,16:40,新市區,194,w_test_2
fig5,14:25,善化區,381,w_test_2
fig5,16:05,新市區,262,w_test_2
fig5,14:15,新市區,470,w_test_2
fig5,16:05,東區,277,w_test_2
fig5,14:10,東區,590,w_test_2
fig5,16:15,善化區,154,w_test_2
fig5,14:20,北區,367,w_test_2
fig5,13:55,東區,518,w_test_2
fig5,14:10,北區,404,w_test_2
fig5,16:05,新化區,246,w_test_2
fig5,16:00,北區,205,w_test_2
fig5,14:50,善化區,381,w_test_2
fig5,14:00,東區,550,w_test_2
fig5,13:55,新市區,465,w_test_2
fig5,16:40,新化區,112,w_test_2
fig5,15:35,安南區,454,w_test_2
fig5,15:55,北區,252,w_test_2
fig5,13:40,安南區,548,w_test_2
fig5,14:05,新市區,479,w_test_2
fig5,16:30,新市區,213,w_test_2
fig5,16:30,東區,120,w_test_2
fig5,14:20,永康區,1052,w_test_2
fig5,17:25,安南區,45,w_test_2
fig5,16:40,善化區,51,w_test_2
fig5,14:15,善化區,374,w_test_2
fig5,14:40,新市區,444,w_test_2
fig5,14:10,新化區,583,w_test_2
fig5,16:05,善化區,156,w_test_2
fig5,16:10,永康區,403,w_test_2
fig5,14:55,北區,370,w_test_2
fig5,16:45,北區,64,w_test_2
fig5,16:25,安南區,196,w_test_2
fig5,14:55,新化區,576,w_test_2
fig5,15:10,永康區,972,w_test_2
fig5,15:30,新市區,425,w_test_2
fig5,15:05,新化區,527,w_test_2
fig5,15:30,東區,543,w_test_2
fig5,15:05,善化區,340,w_test_2
fig5,17:30,新化區,46,w_test_2
fig5,15:40,新化區,506,w_test_2
fig5,15:00,北區,350,w_test_2
fig5,17:05,永康區,139,w_test_2
fig5,14:45,東區,612,w_test_2
fig5,17:30,北區,7,w_test_2
fig5,17:20,新市區,165,w_test_2
fig5,14:35,安南區,601,w_test_2
fig5,15:40,善化區,291,w_test_2
fig5,17:20,東區,47,w_test_2
fig5,17:30,善化區,20,w_test_2
fig5,16:55,永康區,160,w_test_2
fig5,15:05,北區,370,w_test_2
fig5,15:40,北區,286,w_test_2
fig5,15:15,永康區,1000,w_test_2
fig5,15:45,善化區,267,w_test_2
fig5,15:35,新市區,411,w_test_2
fig5,15:45,新化區,488,w_test_2
fig5,13:40,東區,477,w_test_2
fig5,14:00,善化區,369,w_test_2
fig5,13:50,善化區,350,w_test_2
fig5,13:50,北區,330,w_test_2
fig5,17:25,新市區,156,w_test_2
fig5,13:40,新市區,420,w_test_2
fig5,13:50,新化區,558,w_test_2
fig5,15:35,東區,463,w_test_2
fig5,15:20,安南區,532,w_test_2
fig5,15:50,永康區,802,w_test_2
fig5,17:25,東區,40,w_test_2
fig5,17:10,安南區,70,w_test_2
fig5,13:45,北區,346,w_test_2
fig5,13:45,善化區,345,w_test_2
fig5,16:10,新市區,231,w_test_2
fig5,15:35,北區,299,w_test_2
fig5,14:00,永康區,1097,w_test_2
fig5,15:45,永康區,858,w_test_2
fig5,13:35,東區,477,w_test_2
fig5,15:50,安南區,384,w_test_2
fig5,16:10,東區,255,w_test_2
fig5,17:05,安南區,82,w_test_2
fig5,15:15,安南區,491,w_test_2
fig5,14:30,善化區,411,w_test_2
fig5,13:35,新市區,383,w_test_2
fig5,16:20,善化區,152,w_test_2
fig5,13:45,新化區,544,w_test_2
fig5,16:20,新化區,207,w_test_2
fig5,14:20,新市區,458,w_test_2
fig5,13:55,永康區,1021,w_test_2
fig5,16:35,永康區,229,w_test_2
fig5,17:10,善化區,42,w_test_2
fig5,17:10,北區,40,w_test_2
fig5,14:15,安南區,634,w_test_2
fig5,14:50,安南區,585,w_test_2
fig5,16:25,北區,121,w_test_2
fig5,16:55,新市區,177,w_test_2
fig5,14:25,東區,594,w_test_2
fig5,17:00,東區,51,w_test_2
fig5,14:45,永康區,1129,w_test_2
fig5,16:55,東區,69,w_test_2
fig5,17:10,新化區,116,w_test_2
fig5,15:10,東區,514,w_test_2
fig5,17:20,永康區,149,w_test_2
fig5,15:10,新市區,444,w_test_2
fig5,16:40,安南區,143,w_test_2
fig5,15:20,新化區,502,w_test_2
fig5,17:00,新市區,175,w_test_2
fig5,16:05,安南區,307,w_test_2
fig5,14:35,北區,397,w_test_2
fig5,15:20,善化區,323,w_test_2
fig5,14:35,新化區,593,w_test_2
