sin,time_a,age_type,cnt,sintype
fig8,14:35,50-59歲,3714,w_test_2
fig8,16:35,30-39歲,369,w_test_2
fig8,15:25,50-59歲,3387,w_test_2
fig8,17:25,30-39歲,270,w_test_2
fig8,13:50,40-49歲,2120,w_test_2
fig8,14:00,20-29歲,624,w_test_2
fig8,13:45,50-59歲,3265,w_test_2
fig8,15:30,40-49歲,2090,w_test_2
fig8,15:45,20-29歲,590,w_test_2
fig8,15:50,60歲以上,3046,w_test_2
fig8,17:05,50-59歲,318,w_test_2
fig8,17:25,20-29歲,166,w_test_2
fig8,14:55,30-39歲,1167,w_test_2
fig8,15:05,60歲以上,3684,w_test_2
fig8,16:20,40-49歲,1120,w_test_2
fig8,17:30,60歲以上,41,w_test_2
fig8,16:15,50-59歲,1488,w_test_2
fig8,14:55,20-29歲,602,w_test_2
fig8,14:15,60歲以上,3871,w_test_2
fig8,16:40,60歲以上,382,w_test_2
fig8,14:40,40-49歲,2301,w_test_2
fig8,15:45,30-39歲,1093,w_test_2
fig8,14:00,30-39歲,1281,w_test_2
fig8,17:10,40-49歲,302,w_test_2
fig8,16:35,20-29歲,275,w_test_2
fig8,13:30,20-29歲,530,w_test_2
fig8,13:30,30-39歲,991,w_test_2
fig8,16:40,40-49歲,625,w_test_2
fig8,15:05,40-49歲,2254,w_test_2
fig8,16:00,30-39歲,836,w_test_2
fig8,14:35,60歲以上,3692,w_test_2
fig8,15:25,60歲以上,3559,w_test_2
fig8,16:55,20-29歲,255,w_test_2
fig8,13:45,60歲以上,3525,w_test_2
fig8,15:10,30-39歲,1057,w_test_2
fig8,14:15,40-49歲,2323,w_test_2
fig8,14:20,30-39歲,1320,w_test_2
fig8,16:15,60歲以上,1542,w_test_2
fig8,14:55,50-59歲,3612,w_test_2
fig8,17:25,50-59歲,312,w_test_2
fig8,14:00,50-59歲,3634,w_test_2
fig8,15:10,20-29歲,583,w_test_2
fig8,16:35,50-59歲,636,w_test_2
fig8,17:30,40-49歲,156,w_test_2
fig8,16:55,30-39歲,304,w_test_2
fig8,15:45,50-59歲,2903,w_test_2
fig8,15:50,40-49歲,1881,w_test_2
fig8,16:00,20-29歲,465,w_test_2
fig8,14:20,20-29歲,705,w_test_2
fig8,17:05,60歲以上,236,w_test_2
fig8,14:20,50-59歲,3603,w_test_2
fig8,16:00,50-59歲,2190,w_test_2
fig8,16:20,30-39歲,506,w_test_2
fig8,15:25,40-49歲,2020,w_test_2
fig8,17:10,20-29歲,245,w_test_2
fig8,15:10,50-59歲,3367,w_test_2
fig8,15:30,30-39歲,1089,w_test_2
fig8,16:55,50-59歲,380,w_test_2
fig8,14:35,40-49歲,2288,w_test_2
fig8,17:10,30-39歲,271,w_test_2
fig8,13:50,30-39歲,1133,w_test_2
fig8,16:15,40-49歲,1188,w_test_2
fig8,14:40,20-29歲,657,w_test_2
fig8,16:35,60歲以上,511,w_test_2
fig8,14:00,60歲以上,3723,w_test_2
fig8,14:55,60歲以上,3817,w_test_2
fig8,17:05,40-49歲,437,w_test_2
fig8,14:40,30-39歲,1182,w_test_2
fig8,16:20,20-29歲,370,w_test_2
fig8,17:25,60歲以上,164,w_test_2
fig8,13:45,40-49歲,2125,w_test_2
fig8,13:50,20-29歲,578,w_test_2
fig8,15:45,60歲以上,3080,w_test_2
fig8,15:30,20-29歲,595,w_test_2
fig8,13:30,50-59歲,2956,w_test_2
fig8,14:05,40-49歲,2262,w_test_2
fig8,16:05,60歲以上,2055,w_test_2
fig8,15:00,30-39歲,1211,w_test_2
fig8,15:55,30-39歲,930,w_test_2
fig8,14:25,60歲以上,3834,w_test_2
fig8,15:40,40-49歲,2070,w_test_2
fig8,15:55,20-29歲,494,w_test_2
fig8,14:10,30-39歲,1257,w_test_2
fig8,13:35,60歲以上,3033,w_test_2
fig8,17:20,40-49歲,401,w_test_2
fig8,17:15,50-59歲,286,w_test_2
fig8,16:30,40-49歲,805,w_test_2
fig8,16:45,30-39歲,327,w_test_2
fig8,16:25,50-59歲,892,w_test_2
fig8,16:45,20-29歲,263,w_test_2
fig8,15:35,50-59歲,3167,w_test_2
fig8,15:15,60歲以上,3691,w_test_2
fig8,13:55,50-59歲,3366,w_test_2
fig8,14:45,50-59歲,3717,w_test_2
fig8,16:50,60歲以上,367,w_test_2
fig8,14:10,20-29歲,706,w_test_2
fig8,14:50,40-49歲,2348,w_test_2
fig8,15:00,20-29歲,635,w_test_2
fig8,17:25,40-49歲,374,w_test_2
fig8,15:05,30-39歲,1067,w_test_2
fig8,17:30,20-29歲,66,w_test_2
fig8,14:00,40-49歲,2315,w_test_2
fig8,15:45,40-49歲,1931,w_test_2
fig8,15:30,50-59歲,3301,w_test_2
fig8,17:30,30-39歲,105,w_test_2
fig8,15:10,60歲以上,3568,w_test_2
fig8,15:50,30-39歲,965,w_test_2
fig8,17:10,50-59歲,310,w_test_2
fig8,14:20,60歲以上,3710,w_test_2
fig8,14:40,50-59歲,3719,w_test_2
fig8,16:55,60歲以上,248,w_test_2
fig8,14:15,20-29歲,713,w_test_2
fig8,16:20,50-59歲,1186,w_test_2
fig8,16:40,20-29歲,233,w_test_2
fig8,14:15,30-39歲,1371,w_test_2
fig8,14:55,40-49歲,2201,w_test_2
fig8,13:50,50-59歲,3321,w_test_2
fig8,16:35,40-49歲,714,w_test_2
fig8,13:30,60歲以上,2977,w_test_2
fig8,15:50,20-29歲,548,w_test_2
fig8,15:05,20-29歲,637,w_test_2
fig8,16:00,60歲以上,2430,w_test_2
fig8,16:40,30-39歲,338,w_test_2
fig8,14:45,60歲以上,4008,w_test_2
fig8,16:05,40-49歲,1320,w_test_2
fig8,16:50,40-49歲,592,w_test_2
fig8,17:15,60歲以上,192,w_test_2
fig8,13:55,60歲以上,3633,w_test_2
fig8,15:55,50-59歲,2461,w_test_2
fig8,13:40,20-29歲,561,w_test_2
fig8,15:20,30-39歲,1068,w_test_2
fig8,17:00,30-39歲,286,w_test_2
fig8,15:00,50-59歲,3579,w_test_2
fig8,16:45,50-59歲,453,w_test_2
fig8,13:40,30-39歲,1009,w_test_2
fig8,14:25,40-49歲,2291,w_test_2
fig8,16:10,20-29歲,367,w_test_2
fig8,16:25,60歲以上,907,w_test_2
fig8,15:20,20-29歲,566,w_test_2
fig8,15:15,40-49歲,2188,w_test_2
fig8,13:35,40-49歲,1929,w_test_2
fig8,17:00,20-29歲,211,w_test_2
fig8,14:30,30-39歲,1242,w_test_2
fig8,16:10,30-39歲,540,w_test_2
fig8,14:30,20-29歲,750,w_test_2
fig8,15:35,60歲以上,3346,w_test_2
fig8,14:10,50-59歲,3576,w_test_2
fig8,14:35,20-29歲,727,w_test_2
fig8,17:05,20-29歲,242,w_test_2
fig8,14:40,60歲以上,3900,w_test_2
fig8,13:45,20-29歲,563,w_test_2
fig8,13:45,30-39歲,1132,w_test_2
fig8,17:10,60歲以上,164,w_test_2
fig8,16:15,30-39歲,620,w_test_2
fig8,16:20,60歲以上,1200,w_test_2
fig8,14:15,50-59歲,3720,w_test_2
fig8,16:55,40-49歲,532,w_test_2
fig8,14:20,40-49歲,2299,w_test_2
fig8,15:30,60歲以上,3534,w_test_2
fig8,17:30,50-59歲,112,w_test_2
fig8,16:40,50-59歲,540,w_test_2
fig8,17:05,30-39歲,261,w_test_2
fig8,15:25,20-29歲,585,w_test_2
fig8,15:05,50-59歲,3480,w_test_2
fig8,16:00,40-49歲,1552,w_test_2
fig8,15:10,40-49歲,2055,w_test_2
fig8,14:35,30-39歲,1275,w_test_2
fig8,15:50,50-59歲,2794,w_test_2
fig8,16:15,20-29歲,421,w_test_2
fig8,13:50,60歲以上,3534,w_test_2
fig8,15:25,30-39歲,1099,w_test_2
fig8,13:30,40-49歲,1923,w_test_2
fig8,16:50,30-39歲,270,w_test_2
fig8,16:10,60歲以上,1700,w_test_2
fig8,14:25,20-29歲,693,w_test_2
fig8,14:25,30-39歲,1198,w_test_2
fig8,14:10,40-49歲,2299,w_test_2
fig8,17:00,60歲以上,214,w_test_2
fig8,16:05,20-29歲,422,w_test_2
fig8,15:15,20-29歲,623,w_test_2
fig8,15:40,50-59歲,3118,w_test_2
fig8,13:40,60歲以上,3338,w_test_2
fig8,15:55,40-49歲,1725,w_test_2
fig8,13:35,30-39歲,976,w_test_2
fig8,14:30,60歲以上,3930,w_test_2
fig8,16:30,50-59歲,753,w_test_2
fig8,17:20,50-59歲,357,w_test_2
fig8,14:05,50-59歲,3408,w_test_2
fig8,16:50,20-29歲,249,w_test_2
fig8,13:35,20-29歲,522,w_test_2
fig8,15:20,60歲以上,3493,w_test_2
fig8,16:05,30-39歲,682,w_test_2
fig8,14:50,50-59歲,3608,w_test_2
fig8,16:45,40-49歲,608,w_test_2
fig8,15:00,40-49歲,2347,w_test_2
fig8,15:15,30-39歲,1085,w_test_2
fig8,14:30,50-59歲,3744,w_test_2
fig8,14:05,30-39歲,1271,w_test_2
fig8,15:40,20-29歲,551,w_test_2
fig8,14:50,20-29歲,590,w_test_2
fig8,17:00,50-59歲,334,w_test_2
fig8,16:45,60歲以上,463,w_test_2
fig8,17:20,20-29歲,207,w_test_2
fig8,14:50,30-39歲,1179,w_test_2
fig8,15:55,60歲以上,2649,w_test_2
fig8,14:45,40-49歲,2381,w_test_2
fig8,15:35,40-49歲,2078,w_test_2
fig8,16:30,20-29歲,307,w_test_2
fig8,16:25,40-49歲,933,w_test_2
fig8,15:20,50-59歲,3385,w_test_2
fig8,15:00,60歲以上,3859,w_test_2
fig8,17:15,40-49歲,400,w_test_2
fig8,13:40,50-59歲,3061,w_test_2
fig8,15:40,30-39歲,1067,w_test_2
fig8,13:55,40-49歲,2183,w_test_2
fig8,16:30,30-39歲,424,w_test_2
fig8,14:10,60歲以上,3673,w_test_2
fig8,16:10,50-59歲,1583,w_test_2
fig8,14:05,20-29歲,648,w_test_2
fig8,17:20,30-39歲,347,w_test_2
fig8,16:25,30-39歲,514,w_test_2
fig8,15:20,40-49歲,2147,w_test_2
fig8,14:25,50-59歲,3664,w_test_2
fig8,13:40,40-49歲,2002,w_test_2
fig8,13:55,20-29歲,579,w_test_2
fig8,17:00,40-49歲,475,w_test_2
fig8,13:55,30-39歲,1226,w_test_2
fig8,16:25,20-29歲,380,w_test_2
fig8,14:30,40-49歲,2353,w_test_2
fig8,17:15,30-39歲,285,w_test_2
fig8,15:35,30-39歲,1026,w_test_2
fig8,14:45,30-39歲,1276,w_test_2
fig8,14:45,20-29歲,652,w_test_2
fig8,15:15,50-59歲,3397,w_test_2
fig8,15:35,20-29歲,575,w_test_2
fig8,14:05,60歲以上,3651,w_test_2
fig8,17:15,20-29歲,228,w_test_2
fig8,16:05,50-59歲,1832,w_test_2
fig8,17:20,60歲以上,145,w_test_2
fig8,14:50,60歲以上,3850,w_test_2
fig8,16:30,60歲以上,627,w_test_2
fig8,15:40,60歲以上,3292,w_test_2
fig8,16:10,40-49歲,1164,w_test_2
fig8,16:50,50-59歲,441,w_test_2
fig8,13:35,50-59歲,2841,w_test_2
